id,guid,status,changed_fields,content_changed_fields,live_note_id,package_text_preview,live_text_preview,package_extra_preview,live_extra_preview
samarium-153-edtmp,cys4%^?Z.;,content unchanged,Tags,,1779487982943,{{c1::Samarium-153 EDTMP}} is an FDA-approved bone-targeting radiopharmaceutical for refractory painful metastases that can also produce bo...,{{c1::Samarium-153 EDTMP}} is an FDA-approved bone-targeting radiopharmaceutical for refractory painful metastases that can also produce bo...,Nukes Quiz Session. This tests the therapeutic radiopharmaceutical that is also imageable.,Nukes Quiz Session. This tests the therapeutic radiopharmaceutical that is also imageable.
sacral-insufficiency-fracture,v.4LP*IL=E,content unchanged,Tags,,1779487982945,Sacral insufficiency fracture due to osteoporosis is a classic cause of {{c1::sacral uptake on bone scintigraphy}}.,Sacral insufficiency fracture due to osteoporosis is a classic cause of {{c1::sacral uptake on bone scintigraphy}}.,Nukes Quiz Session. The Notion entry listed this as a diagnosis prompt; no reliable diagnostic image was captured for that prompt.,Nukes Quiz Session. The Notion entry listed this as a diagnosis prompt; no reliable diagnostic image was captured for that prompt.
osseous-metastases-workup,KGibm0h:km,content unchanged,Tags,,1779487982947,Diffuse or concerning bone-scan findings in a 58-year-old man should raise concern for {{c1::osseous metastases}} and prompt radiographic c...,Diffuse or concerning bone-scan findings in a 58-year-old man should raise concern for {{c1::osseous metastases}} and prompt radiographic c...,Nukes Quiz Session. This preserves the testable point without forcing an uncertain visual card.,Nukes Quiz Session. This preserves the testable point without forcing an uncertain visual card.
four-phase-time,"xxQ(,IU6]F",content unchanged,Tags,,1779487982949,Four-phase bone scintigraphy adds delayed imaging at about {{c1::18-24 hours}}.,Four-phase bone scintigraphy adds delayed imaging at about {{c1::18-24 hours}}.,Nukes Quiz Session. The extra delayed phase helps when standard delayed images have excessive background.,Nukes Quiz Session. The extra delayed phase helps when standard delayed images have excessive background.
three-phase-indications,"M:I,>(BG<h",content unchanged,Tags,,1779487982951,"Three-phase bone scintigraphy is useful for {{c1::osteomyelitis vs cellulitis, painful joint prosthesis, CRPS, and acute fracture/stress in...","Three-phase bone scintigraphy is useful for {{c1::osteomyelitis vs cellulitis, painful joint prosthesis, CRPS, and acute fracture/stress in...",Nukes Quiz Session. These are the listed high-yield indications.,Nukes Quiz Session. These are the listed high-yield indications.
four-phase-indication,IU5h$KM`cD,content changed in Anki,"Text, Tags",Text,1779487982953,Four-phase bone scintigraphy is useful when a {{c1::renal failure patient needs three-phase imaging}} because background activity remains h...,Four-phase bone scintigraphy is useful when a {{c1::renal failure}} patient needs three-phase imaging because background activity remains h...,Nukes Quiz Session. The delayed fourth phase improves skeletal-to-background contrast.,Nukes Quiz Session. The delayed fourth phase improves skeletal-to-background contrast.
flow-phase,p_v!o3ONt_,content unchanged,Tags,,1779487982955,The flow phase of three-phase bone scintigraphy is acquired {{c1::immediately during injection}} and reflects {{c2::regional arterial perfu...,The flow phase of three-phase bone scintigraphy is acquired {{c1::immediately during injection}} and reflects {{c2::regional arterial perfu...,Nukes Quiz Session. Know timing and physiology for each phase.,Nukes Quiz Session. Know timing and physiology for each phase.
blood-pool-phase,C~`/9Mj1W),content unchanged,Tags,,1779487982958,The blood pool phase of three-phase bone scintigraphy is acquired {{c1::within minutes}} and reflects {{c2::vascular and soft tissue perfus...,The blood pool phase of three-phase bone scintigraphy is acquired {{c1::within minutes}} and reflects {{c2::vascular and soft tissue perfus...,Nukes Quiz Session. Know timing and physiology for each phase.,Nukes Quiz Session. Know timing and physiology for each phase.
delayed-skeletal-phase,BKXkF77;`;,content unchanged,Tags,,1779487982961,The delayed skeletal phase of three-phase bone scintigraphy is acquired about {{c1::2-3 hours after injection}} and reflects {{c2::tracer b...,The delayed skeletal phase of three-phase bone scintigraphy is acquired about {{c1::2-3 hours after injection}} and reflects {{c2::tracer b...,Nukes Quiz Session. This is the classic delayed bone scan phase.,Nukes Quiz Session. This is the classic delayed bone scan phase.
cortical-desmoid,y9Aah{$eT8,content unchanged,Tags,,1779487982964,A cortical desmoid typically shows {{c1::normal activity}} on bone scintigraphy.,A cortical desmoid typically shows {{c1::normal activity}} on bone scintigraphy.,Nukes Quiz Session. Not every benign bone lesion is avid.,Nukes Quiz Session. Not every benign bone lesion is avid.
bone-island,hzm|vY?;Nl,content unchanged,Tags,,1779487982966,A bone island typically shows {{c1::normal activity}} on bone scintigraphy.,A bone island typically shows {{c1::normal activity}} on bone scintigraphy.,Nukes Quiz Session. Not every sclerotic lesion is bone-scan avid.,Nukes Quiz Session. Not every sclerotic lesion is bone-scan avid.
osseous-hemangioma,^4DiEN{(S,content unchanged,Tags,,1779487982968,An osseous hemangioma typically shows {{c1::normal activity}} on bone scintigraphy.,An osseous hemangioma typically shows {{c1::normal activity}} on bone scintigraphy.,Nukes Quiz Session. Not every benign vertebral/bone lesion is avid.,Nukes Quiz Session. Not every benign vertebral/bone lesion is avid.
intense-delayed-benign-lesions,q{oM[g%B{_,content unchanged,Tags,,1779487982970,"{{c1::Osteoblastoma, osteoid osteoma, fibrous dysplasia, and giant cell tumor}} usually show intense delayed activity on bone scintigraphy.","{{c1::Osteoblastoma, osteoid osteoma, fibrous dysplasia, and giant cell tumor}} usually show intense delayed activity on bone scintigraphy.",Nukes Quiz Session. These benign/aggressive benign lesions can be markedly bone-scan avid.,Nukes Quiz Session. These benign/aggressive benign lesions can be markedly bone-scan avid.
chondroblastoma-uptake,G!#CHYy5#q,content unchanged,Tags,,1779487982972,Chondroblastoma can show {{c1::moderate or intense}} activity on bone scintigraphy.,Chondroblastoma can show {{c1::moderate or intense}} activity on bone scintigraphy.,Nukes Quiz Session. This is less uniformly intense than osteoid osteoma/osteoblastoma.,Nukes Quiz Session. This is less uniformly intense than osteoid osteoma/osteoblastoma.
enchondroma-uptake,lMZ0Ff0>!3,content unchanged,Tags,,1779487982974,Enchondroma can show {{c1::mild to moderate}} activity on bone scintigraphy.,Enchondroma can show {{c1::mild to moderate}} activity on bone scintigraphy.,Nukes Quiz Session. Mild uptake does not automatically imply aggressive disease.,Nukes Quiz Session. Mild uptake does not automatically imply aggressive disease.
fibrous-cortical-defect-uptake,O-P|LISJCG,content unchanged,Tags,,1779487982976,Fibrous cortical defects and nonossifying fibromas typically show {{c1::normal or mild}} uptake on bone scintigraphy.,Fibrous cortical defects and nonossifying fibromas typically show {{c1::normal or mild}} uptake on bone scintigraphy.,Nukes Quiz Session. These are usually not intensely avid.,Nukes Quiz Session. These are usually not intensely avid.
isolated-rib-prostate-risk,"c14k<1awv,",content unchanged,Tags,,1779487982978,An isolated rib lesion on bone scintigraphy in a patient with prostate cancer has only about a {{c1::1%}} risk of being cancer.,An isolated rib lesion on bone scintigraphy in a patient with prostate cancer has only about a {{c1::1%}} risk of being cancer.,Nukes Quiz Session. Isolated rib uptake is commonly benign/fracture-related.,Nukes Quiz Session. Isolated rib uptake is commonly benign/fracture-related.
isolated-rib-prostate-next,M-}D.Ask*M,content unchanged,Tags,,1779487982980,The next step for an isolated rib lesion on bone scintigraphy in a patient with prostate cancer is {{c1::chest CT}}.,The next step for an isolated rib lesion on bone scintigraphy in a patient with prostate cancer is {{c1::chest CT}}.,Nukes Quiz Session. CT correlation helps distinguish fracture from metastasis.,Nukes Quiz Session. CT correlation helps distinguish fracture from metastasis.
malignant-rib-location,Dl}`^jWk%z,content unchanged,Tags,,1779487982982,Rib lesions on bone scintigraphy are more suspicious for malignancy when they involve the {{c1::first or second ribs}}.,Rib lesions on bone scintigraphy are more suspicious for malignancy when they involve the {{c1::first or second ribs}}.,Nukes Quiz Session. Location modifies the probability of metastasis.,Nukes Quiz Session. Location modifies the probability of metastasis.
malignant-rib-features,Nk+f:`:1?S,content unchanged,Tags,,1779487982984,"Rib uptake is more suspicious for cancer when there is {{c1::first/second rib involvement, multiple foci in the same rib, or elongated upta...","Rib uptake is more suspicious for cancer when there is {{c1::first/second rib involvement, multiple foci in the same rib, or elongated upta...",Nukes Quiz Session. These are the three listed malignant features.,Nukes Quiz Session. These are the three listed malignant features.
gallbladder-ef,J}Y)TpJk!X,content unchanged,Tags,,1779487982986,A normal gallbladder ejection fraction is {{c1::greater than about 35%}}.,A normal gallbladder ejection fraction is {{c1::greater than about 35%}}.,Nukes Quiz Session. The note lists about 33% for Ensure and 38% for a meal.,Nukes Quiz Session. The note lists about 33% for Ensure and 38% for a meal.
level-i-boundary,m0)gLd=L(},content changed in Anki,"Text, Tags",Text,1779487982988,Level I cervical nodes are {{c1::anterior to the posterior aspect of the submandibular glands}}.,Level {{c2::I}} cervical nodes are {{c1::anterior to the posterior aspect of the submandibular glands::located where with respect to what m...,Nukes Quiz Session. Level I includes IA and IB.,Nukes Quiz Session. Level I includes IA and IB.
level-i-subdivisions,H/TkSGp$[`,content changed in Anki,"Text, Extra, Tags","Text, Extra",1779487982990,Level I cervical nodes are divided into {{c1::IA submental}} and {{c2::IB submandibular}} nodes.,Level {{c1::I}} cervical nodes are divided into {{c2::submental}} and {{c2::submandibular}} nodes.,Nukes Quiz Session. This is the basic Level I subdivision.,Nukes Quiz Session. This is the basic Level I subdivision. IA submental and IB submandibular
level-ia-boundaries,Q_cy7Xj.uw,content changed in Anki,"Text, Tags",Text,1779487982993,Level IA nodes are between the {{c1::medial margins of the anterior bellies of the digastric muscles}}.,Level {{c2::IA}} nodes are {{c1::between the medial margins of the anterior bellies of the digastric muscles::located where with respect to...,Nukes Quiz Session. IA is the submental compartment.,Nukes Quiz Session. IA is the submental compartment.
level-ib-boundaries,G2g-7`Lz51,content changed in Anki,"Text, Tags",Text,1779487982995,Level IB nodes are {{c1::lateral to the anterior belly of the digastric muscle}}.,Level {{c2::IB}} nodes are {{c1::lateral to the anterior belly of the digastric muscle::located where with respect to what major landmarks}...,Nukes Quiz Session. IB is the submandibular compartment.,Nukes Quiz Session. IB is the submandibular compartment.
level-ii-boundaries,Me6i4].a$c,content changed in Anki,"Text, Tags",Text,1779487982997,"Level II nodes span from the {{c1::skull base}} to the {{c2::lower body of the hyoid}}, posterior to the submandibular gland and anterior t...","Level {{c2::II}} nodes are {{c1::posterior to the submandibular gland and anterior to posterior SCM, from the skull base to the lower body...",Nukes Quiz Session. This matches the diagram card for Level II.,Nukes Quiz Session. This matches the diagram card for Level II.
mandibular-ramus-muscles,vHVp<l)Vll,content changed in Anki,"Text, Tags",Text,1779487983000,The mandibular ramus lies between the {{c1::medial pterygoid medially}} and {{c2::masseter laterally}}.,The mandibular ramus lies between {{c1::the medial pterygoid medially and masseter laterally::what muscles}}.,Nukes Quiz Session. This helps localize adjacent nodal/anatomic compartments.,Nukes Quiz Session. This helps localize adjacent nodal/anatomic compartments.
jugular-chain-levels,FUZy0wtfse,content unchanged,Tags,,1779487983003,"The jugular lymph node group comprises levels {{c1::II, III, and IV}}.","The jugular lymph node group comprises levels {{c1::II, III, and IV}}.",Nukes Quiz Session. These are the main internal jugular chain levels.,Nukes Quiz Session. These are the main internal jugular chain levels.
level-iii-boundaries,o(Fd&~/.xq,content changed in Anki,"Text, Tags",Text,1779487983005,Level III nodes span from the {{c1::lower body of the hyoid}} to the {{c2::lower cricoid arch}}.,Level {{c2::III}} nodes {{c1::course along the jugular vein from the lower body of the hyoid to the lower cricoid arch::are located where w...,Nukes Quiz Session. This is the middle jugular level.,Nukes Quiz Session. This is the middle jugular level.
levels-ii-iv-rule,IX7.*#HEV3,content changed in Anki,"Text, Tags",Text,1779487983008,Levels II-IV are generally {{c1::posteromedial to SCM}} and {{c2::anterolateral to the scalene muscles}}.,"Levels {{c2::II-IV}} are{{c1::along the course of the jugular vein, posteromedial to SCM and anterolateral to the scalene muscles::located...",Nukes Quiz Session. This is the rule-of-thumb localization.,Nukes Quiz Session. This is the rule-of-thumb localization.
level-v,"o?,]o;H.W:",content changed in Anki,"Text, Tags",Text,1779487983011,Level V cervical nodes are the {{c1::posterior triangle}} nodes.,Level {{c2::V}} cervical nodes are the {{c1::posterior triangle}} nodes.,Nukes Quiz Session. Level V lies posterior to SCM.,Nukes Quiz Session. Level V lies posterior to SCM.
level-v-posterior-scm,mj_B605AN(,content changed in Anki,"Text, Tags",Text,1779487983013,Level V nodes are {{c1::posterior to the sternocleidomastoid muscle}}.,Level {{c2::V}} nodes are {{c1::posterior to the sternocleidomastoid muscle::located where with respect to what major landmarks}}.,Nukes Quiz Session. This is the key anatomic relationship.,Nukes Quiz Session. This is the key anatomic relationship.
